year,title,abstract,chars,category
2024,《여씨춘추의》 天人相應 사상에 대한 연구,"Up throughout Lusichunqiu grasped the will of heaven. Also, human affairs were observed in the center. And observed the land below. Through this, they established a system in which they are related to and distinct from each other. He said that all of these things ultimately come down to human affairs. Regarding compliance with the seasons, it clearly states what things should be done and what things should not be done in certain months during the four seasons of the year. This becomes the platform for implementing the monarch's policies. Some of these are natural and some are artificial, but the people must strive to make a living according to them. Only by following these principles will you naturally receive auspicious blessings from heaven. However, if you do the opposite, you will be punished from heaven. Also, ideal politics must be in harmony with heaven. Therefore, political policies can be broadly divided into four types and distributed to each season according to their nature.",1000,연구
2024,Young Children’s Photographs as a Visual Research Method in Early Childhood Classrooms,"The purpose of this study was to emphasize how one type of visual research: photography, can be used as an everyday teaching tool in the early childhood classroom to facilitate and enhance learning. This article discusses strategies and methods on how to apply and integrate photography in the everyday lives of young children in the early childhood classroom. The focus of this article discusses how children can lead as the sole researcher in the classroom by taking control and being behind the camera lens, not the teacher. As the researcher, children can record their own experiences and speak for themselves. The camera is a creative and empowering tool, where the resulting images act as their visual voice. Findings of the literature review indicate that through photography, not only do children enhance skills in both language and literacy, but their motivation for learning increases as well. Further research needs to be implemented to increase this type of visual research for children and find ways to develop programs that can be practically applied in the early childhood classrooms.",1099,연구
2024,阿部吉雄の李退渓研究―山崎闇斎研究との関連を中心に,阿部吉雄は、李退渓を中軸とした日韓思想の比較･交渉に関する画期的研究を行った人物として知られている。しかし実は、代表作『日本朱子学と朝鮮』(東京大学出版会、1965年)に結実する阿部の研究枠組は、1940年代前半の京城帝国大学において形作られたものであった。では、戦時下の植民地朝鮮という地場は、彼の研究にどのような作用をおよぼしていたのだろうか。本稿では、1930年代からなされていた阿部の山崎闇斎研究に着目することで、そうした問題の検討を試みた。そして検討の結果、阿部は、李退渓から影響を受けた闇斎が「皇道儒学」を築いたのだとする主張を展開していたこと、その「皇道儒学」論に基づいて朝鮮儒林を戦争に動員するための論理を形成していたこと、が明らかとなった。阿部の研究における実証的成果が現在もなお有益であることに間違いはない。とはいえ、我々はこの歴史的事実を正しく把握しておく必要があるだろう。,398,연구
2024,漢代墓葬計類簡牘文書性質硏究,"한대 묘장에서 출토된 간독 문서는 풍부한 자료로서, 이들은 지하세계로 보내어진 문서들이다. 계류(計類) 문서는 주로 각종 집부(集簿), 요구부(要具簿), 이원부, 호구명부, 도적명부 등을 포함하는데, 이는 고지서나 의물소의 부건으로서 이 문서들은 현실 세계에서의 상계 또는 계해류(計偕類) 공문서의 범주와 유사하지만, 군국에서 중앙에 제출하는 공문서가 아니라 묘주가 지하의 주인에게 제출하는 문서이다. 현재까지 계류 간독 문서를 부장한 한대 묘장은 정확히 7기가 있으며, 그 중 3기는 부장된 문서와 묘주의 신분이 대체로 일치하고, 4기는 부장된 계류 간독 문서가 묘주의 신분보다 높다. 전자는 한대 사람들이 명계에서도 생전과 같이 계속해서 지역을 다스리고 부귀를 누리기를 바라는 것을 반영하며, 후자는 묘주가 지하세계에서 현세보다 더 풍족하고 귀한 삶을 살기를 바라는 소망을 나타낸다. 또한, 부장된 계류 문서 중에는 “고병부(庫兵簿)”라는 특별한 문서가 있는데, 이 문서에 기록된 병거기(兵車器)의 종류와 수량은 지금까지 전례가 없는 것이다. 전국시대 초 묘장에 견책에 기록된 병기나 거마기와 비교해보면, “고병부”는 초나라의 오래된 예제 풍속의 유물로 보이며, 다른 간독 계류 문서와 함께 묘주의 현세 세계에서의 신분과 지위를 증명하기 위한 것이다. 이러한 묘장에서 출토된 계류 문서는 성격상 명계 문서에 속합니다. 이 문서들은 반드시 완벽하게 필사된 것은 아니고, 데이터가 정확하지 않을 수도 있으며, 준비가 매우 정성스럽지는 않을 수 있지만, 필사할 때는 반드시 근거가 있었으므로 이들의 소중한 사료적 가치는 무시할 수 없다.",803,연구
2024,Comparative Analysis of Research and Development Productivity among European Countries,"In 2024, the Korean government drastically reduced its budget by emphasizing financialsoundness and efficiency of R&D investment. Meanwhile, this discussion is in line with theR&D Paradox discussed in Europe around the 2000s. Accordingly, this paper surveyed G10European countries, Germany, the UK, France, Belgium, the Netherlands, and Italy, whichhave joined the OECD for the past 50 years (1970-2020), for the total amount of R&Dinvestment, total factor productivity, which is a proxy for science and technologydevelopment, and economic growth variables were estimated based on the permanentinventory method and growth accounting, respectively. The causal relationship between thesevariables was empirically analyzed based on the Cobb-Douglas production function. As aresult of the analysis, the R&D stock of six European countries had a positive effect on bothscience and technology development and economic growth, and it was found to be statisticallysignificant. However, the causal relationship between R&D stock and TFP was estimatedsomewhat differently by country, and the efficiency of R&D investment was higher inGermany, France, and Belgium than in the UK, the Netherlands, and Italy. In particular, majorEuropean countries were showing a decreasing trend of total factor productivity, which is aproxy for science and technology development. In addition, companies' R&D investmentefficiency is gradually higher than that of the government. This suggests that it is necessaryto improve the efficiency of R&D investment by revitalizing joint R&D and open innovationbetween the government and companies",1611,연구
2024,全球文明倡议对 “海外汉学研究” 的启示与意义: 海外汉学的研究动向及初探韩国汉学的研究理论,本文探讨了“中国式现代化理论，即人类命运共同体—全球文明倡议”在文明对策论上的意义（创新性）、以及它对“海外汉学（Sinology，又称中国学）研究”的启示和互动等。具体来说，通过阐述海外汉学及其研究领域是实践“人类文明交流互鉴”的学术公器，即具有体现交流、对话、借鉴、融合、共存、和平、平等、多元、互惠、合作、包容等时代价值和精神的“全球共情知识网络”这一实效性的学术机制，为21世纪超链接时代提出了“海外汉学”的研究方向和蓝图。加之，还参照现行海外汉学的研究理论与方法，把知识产生的“发话位置”移动到同一东亚文明圈“韩国汉学”的生成版图，尝试从新的维度——“东亚话语（East Asia Discourse，区域视角）”来探讨海外汉学的知识体系和研究模式。以此试论，“韩国汉学研究”是“全球文明倡议之东亚探索”——东亚文明共同体的共情知识网络建立方面的一种值得关注的学术机制。,390,연구
2024,Investigation on Digital Gaps in Kyrgyzstan,"This study conducted a survey of 300 participants to understand the patterns of digital gaps emerging amist the digital transformation of Kyrgyzstan and to identify significant factors influencing these gaps. Unlike previous research focusing solely on digital gaps resulting from digital infrastructure disparities, this paper is based on a survey designed to comprehensively grasp an integrated and multidimensional understanding of digital disparities by examining whether individuals have sufficient access to digital services and are satisfied with them. The analysis results indicate the need for policy considerations, particularly concerning digital gaps between urban and rural communities in Kyrgyzstan. Residents in rural areas utilize the internet to perform more diverse tasks, but they consume online public services less frequently than their urban counterparts. It is also noteworthy that rural residents rate satisfaction with digital services higher in all aspects than do urban residents. This indicates that rural residents may consume digitalized services less frequently not because they are dissatisfied with the services, but simply because they have a lower demand for them compared to urban counterparts. Therefore, the Kyrgyzstan government should actively provide digital literacy education to rural residents, enabling them to identify their demand for high-quality digital services, and expand content provision that aligns with their needs.",1471,연구
2024,Research on A Comprehensive Study on Building a Zero Knowledge Proof System Model,"Zero Knowledge Proof (ZKP) is an innovative decentralized technology designed to enhance the privacy and security of virtual currency transactions. By ensuring that only the necessary information is disclosed by the transaction provider, ZKP protects the confidentiality of all parties involved. This ensures that both the identity of the transacting parties and the transaction value remain confidential.ZKP not only provides a robust privacy function by concealing the identities and values involved in blockchain transactions but also facilitates the exchange of money between parties without the need to verify each other's identity. This anonymity feature is crucial in promoting trust and security in financial transactions, making ZKP a pivotal technology in the realm of virtual currencies. In the context of the Fourth Industrial Revolution, the application of ZKP contributes significantly to the comprehensive and stable development of financial services. It fosters a trustworthy user environment by ensuring that transaction privacy is maintained, thereby encouraging broader adoption of virtual currencies. By integrating ZKP, financial services can achieve a higher level of security and trust, essential for the continued growth and innovation within the sector.",1278,연구
2024,An Empirical Research on Intension to Use Robotaxi in China: Testing the Public Trust Factor,"[Purpose] Based on the theory of innovation diffusion, this study primarily explored the impact of five innovative characteristics of Robotaxi on public trust and intention to use. [Methodology] This study built models and hypotheses, and conducted empirical analysis using a Structural Equation Model based on data collected through an online questionnaire. [Findings] The research findings indicate that relative advantage, compatibility, and trialability have direct positive effects on public trust, while complexity has a direct negative impact. Additionally, relative advantage, compatibility, and observability exhibit a direct positive impact on the public’s intention to use Robotaxi. Trust acts as a mediator in the relationship between relative advantage, compatibility, trialability, complexity, and the public’s intention to use. [Implications] This study contributes to the existing research on trust and the intention to use Robotaxi, providing valuable insights for businesses in shaping commercial strategies and for government agencies in devising policies to encourage the adoption of Robotaxi.",1113,연구
2024,Étude sur la sensibilité chez Diderot,"Le matérialisme de Diderot a une longue histoire dans sa vie. Moniste, il unifie le corps et l’âme, depuis longtemps séparés. En relisant ses ouvrages sur la physiologie, nous observons comment la notion de « sensibilité » est utilisée pour illustrer le passage du corps inerte au corps vivant. Dans Le Rêve de d’Alembert , Diderot ne cherche pas à convaincre d’Alembert de son matérialisme. Tout d’abord, il lui fait accepter une modification de la notion de la « force » leibnizienne. Ensuite, il se sert de la comparaison entre la force vive et la sensibilité active pour déplacer d’Alembert de la physique à la physiologie car les principes de la physique ne s’appliquent pas directement aux problèmes de la physiologie. Enfin, à l’aide d’une autre analogie, Diderot passe de l’être sentant à l’être pensant. C’est ici qu’il remet en question l’existence de l’âme en supposant que les impressions, reçues dans les nerfs, les font vibrer. Il explique la transmission de telles impressions en fonction de la vibration des cordes d’un instrument : le son ne se rend pas de façon exacte pour peu que ses cordes soient bien accordées.",1133,연구
2024,Comparative Study of Asian and European Countries- Nation Brand Perception-Reality Gap -,"Nation brand models that use only perception surveys are widely utilized; however, due to the diversity and complexity of human perception mechanisms, they may fail to objectively reflect the actual nation brand. This phenomenon, known as the Perception-Reality Gap (PRG), can hinder the development of nation branding strategies, especially when the perception of a specific nation brand greatly differs from the country's actual situation. Despite the significance of quantitative and regional studies on PRG, such research remains insufficient. To fill this research gap, this study measures PRG using the perception-based NBI model, and the SNBI model, which uses the same six dimensions and weights as the NBI, making one-to-one comparison easier. It applies theories of social psychology and cognitive bias to nation brand evaluation and proposes three hypotheses regarding the differences between people's perception and statistical reality in nation branding. To test these hypotheses, the study first conducts a cross-sectional analysis of PRG differences across 37 countries. Second, it divides the surveyed countries into three regions and classifies them into five groups based on the size of PRG differences for further analysis. Finally, it performs a longitudinal comparison analysis of PRG differences across the three regions. Additionally, based on cross-sectional and temporal evaluations of South Korea, the study provides tailored strategic directions for future public diplomacy efforts. Findings suggest that the root causes of PRG gaps include cognitive biases, social psychology, and the effectiveness of public diplomacy efforts. To explore these causes in greater depth, we propose three research directions. This research is academically significant as it is the first to propose a method for comparing nation brand gaps regionally. Practically, it offers guidance on developing balanced nation branding strategies that consider both perceptions and reality.",1986,연구
2024,A Study on Present Status of Mountain Fortress in Korea,"This study investigated the present distribution of mountain fortress (MF) in Korea and abroad and suggested the utilization values. Korean peninsula had 1,563 mountain fortresses, of which 1,293 (82.73%) were located in Korea, and 264 (16.9%) were located in Chungcheongnam-do. When categorized by construction era, 1,185 Moutain fortresses were divided into 14 eras, and when categorized by designated cultural heritages, 317 Moutain fortresses were legally protected by dividing into‘state-designated cultural heritage’,‘City/Do-designated cultural heritage’,‘Cultural heritage resources’,‘Local relics’ and‘Cultural relics protection unit (China)’. The analysis of the geomorphic characteristics of the analyzable 195 moutain fortresses showed that the slopes were 15° to 20°, the elevation were 100 to 200 meters, and the aspect of 102 Moutain fortresses (52.31%) was oriented to the southern direction. In the future, various functional studies are needed to consider the social, ecological and educational values of the mountain fortress",1044,연구
2024,A Study of the Practice of Prayer of Jonathan Edwards,"This study is about Jonathan Edwards’ prayer. Jonathan Edwards (1703-1758) is the most influential pastor, theologian, and philosopher in the history of evangelicalism. In “Miscellanies,” no. 332, Edwards states that “God is a communicative being.” If “God is a communicative beings,” how does God communicate with His people in prayer? The purpose of this study is to find out the worship theology as a pattern of revelation and response that Edwards pursues in prayer, one of the elements of worship. Edwards considers prayer as the practice of a divine-human conversation. God’s mercy is self-moved, not moved by His people in prayer. God prepares men’s hearts to prayer, and then answers their prayers. So, prayer is God’s favor. In his sermon “God’s Manner Is First to Prepare Men’s Hearts and Then to Answer Their Prayers,” Edwards states that God’s favor toward His people is set forth in a twofold exercise of that favor in prayer: (1) God encourages His people to pray, (2) God listens to their cry. God reveals His favor through prayer. God’s people pray to Him by His favor. For Edwards, thus God communicates with His people as a patten of revelation and response by the Spirit in prayer. In the historical method, this study uses Edwards’ selected sermons informed by his theological writings to discern his worship theology. In his diary and sermons, Edwards recorded that he sought to convey God’s favor to His people through prayer. In fact, researches about Edwards have been continued in various fields. Unfortunately, however, there is little research on the theology of worship that Edwards pursued. In this respect, the study will be a stepping stone to development of Edwards’ worship theology.",1716,연구
2024,Study on Port Safety in China,"China has proposed the goal of building world-class ports, in which port safety is the core theme for realizing the goal. By analyzing the legal system of China’s port safety, it is found that there is a lack of comprehensive and specialized legislation and rationality in the legislative structure. Based on the analysis of significant port safety accidents, China’s port safety also has problems in administrative management, such as multiple management and breeding of corruption and malfeasance, as well as labor and employment problems, such as complex forms of employment and weakness of safety training. Therefore, based on the Korean port safety laws, the existing Chinese laws and rules can be revised first, and then the goal of enacting the Chinese Port Safety Act can be gradually realized. In addition, China should establish an integrated, penetrating, and whole-process safety supervision system and emphasize safety education and training.",955,연구
2024,中国个人破产重整程序的建构,"”可以刺激消费进而拉动经济增长, 但当居民债务超过一定规模后就对消费产生抑制作用, 例 如消费卡过度透支消费、 住房抵押贷款持续增长、 房贷违约率明显上升等情况。 由此可以看出, 中 国个人负债问题已经成为不定时炸弹, 随时准备引爆, 一旦爆炸必将给社会带来无可估量的影响。 至此, 个人破产制度的呼声被推至高潮。 个人破产制度的建立是中国优化营商环境的重要一环, 也是退出市场机制的重要组成部分。 在 2004年修改的《企业破产法》中, 有专家学者建议将个人破产制度纳入进来, 但由于当时司法经验不 足, 人们的社会观念固化和技术条件的不完善等等原因并未将个人破产制度纳入进来, 随着时间的 推移, 现如今的《企业破产法》在修改中是否将个人破产制度纳入进来众说纷纭。 但大部分的专家学 者都认为中国已经积累了大量的司法经验, 人们观念转换和技术的成熟发展, 应该建立专门的个人 破产法。 目前国外早已经实行个人破产制度, 但中国还尚未建立, 针对愈来愈多的自然人在市场经 济中丧失债务清偿能力的情况下, 基于矛盾的特殊性, 中国首次出台了《深圳经济特区个人破产条 例》（以下简称《深圳破产条例》）, 在深圳进行试点工作, 并设置了破产清算, 和解和重整三种模式。 个 人破产不仅要保护“诚实而不幸”的债务人也要维护债权人的利益, 达到相应的利益平衡。 所以, 重整 程序将会成为中国未来个人破产程序的主要运用模式, 该模式主要针对“能还尽还”的债务人, 最大 限度地偿还债权人的债务。 《深圳破产条例》虽然规定了重整程序, 但由于受到种种局限性, 规定的 较为保守, 尤其是重整程序下对于程序的立法模式、 程序的启动主体、 程序方案的实施以及对程序 的事后保障措施的规定尚不完善。 在各地方立法模式中, 采用的是双轨制的自由选择型立法, 即允 许债务人自由选择破产程序, 但这可能会导致程序的滥用, 并可能损害债权人的权益。 在程序的启 动过程中, 主要的适用主体是商自然人, 但在某些地区, 将个人工商户纳入其中。 然而, 总体上, 并没 有将所有的自然人都视为个人破产的适用主体。 在申请过程中, 主要是由债务人提出的, 而债权人 尚未获得申请资格。 在程序方案的执行过程中, 提交的所有材料都是一致的, 并且没有对程序进行 分流, 同时也设置了相同的执行期限。 在程序的后期保护方面, 由于还没有建立一个完善的个人财 产登记制度, 这可能会导致债务人隐藏财产, 这不仅侵犯了债权人的权益, 还会降低社会信用制度 的完善程度。 美国、 德国、 日本和韩国的破产重整程序在百年前就已经制定实施, 积累了大量的个人 破产经验, 对中国具有较大的借鉴意义。 对立法例进行比较研究下, 在程序模式上实行双轨制限制 选择型, 制定相应的条件限制选择债务人自行选择破产模式。 在程序启动上扩大适用主体范围和申 请主体范围,在适用主体方面, 将《民法典》中所规定的自然人纳入到个人破产适用主体上, 在申请主 体方面, 授予债权人提出破产重整的权利。 同时, 兼顾效率与公平原则, 在程序方案实施上根据重整 程序的不同分别制定不同类型的方案随之予以批准并设置相应的执行期限,最后设立相应的事后保 障措施从而为中国制定属于中国特色的个人破产法提供借鉴。",1370,연구
